x,J0,J1 
-150,-0.000774090375394291246946348273936984806461475462883351382869,0.065145163657727360304582973797069883748673181030241890037042 
-149.9,-0.007276055406112213958062948836367202693554914035661641071078,0.064785717661868304189094685477493889797896696306560562093734 
-149.8,-0.013709635218744896227899407869666531202542677985910095264117,0.063778527100979380249834794571444102046850473444370330978386 
-149.7,-0.020010483359924327139319477564065361820110529322613553455288,0.062133225585745690213021901662350140430320909040854111705646 
-149.6,-0.026115536946583685488451962150250581875598109549440136275995,0.059865830228995378761000233558763107940480869349102454301711 
-149.5,-0.031963647752879660687520809970398527004750969453918167408309,0.056998585845004123035798319432486493938154015307110687025773 
-149.4,-0.037496194584996845360326773953434999476601922925890242527780,0.053559746812736140696829438832258124183326062573619543066357 
-149.3,-0.042657670812010968829163346913498105220415531767803526413243,0.049583298741104012472971728199186680920236112309723039879372 
-149.2,-0.047396241165141960863645950418426804876463394728456271276687,0.045108622677247987795111470434198894829655458366930091258050 
-149.1,-0.051664262220873977909457138813831367026024761442477670260586,0.040180105174769556355877039218648928471927793006995067399071 
-149.0,-0.055418761342568097664843780723906781897401011515287665182044,0.034846698082031773442293888857656679284904386013236984396363 
-148.9,-0.058621869266793386108363964809651366139425095108228311460214,0.029161432415611378085022585991932132256539948663994704321101 
-148.8,-0.061241201980576045363514523047295187723534629644253172037105,0.023180891145684451234428861905080014736623135163575254171973 
-148.7,-0.063250188039550914577735376168650337533965700360735490987441,0.016964646133906501107157927532919488682534761333115925750294 
-148.6,-0.064628338019590511484795690125675076256630844052420332323502,0.010574664826043330813993101284921214971314195941568043905766 
-148.5,-0.065361453370488800605544659804837253386866165686669584839969,0.004074692607572294376255735497714079337892482530485762606027 
-148.4,-0.065441772543957265224732428126382399264933845446544962524847,-0.002470383022389609995682356493116003867832558528341987548795 
-148.3,-0.064868052893536580282074919161256390147393533882563480083934,-0.008995180117672481675633238999908416784337547959008071674105 
-148.2,-0.063645587484804679792308119806454278815558752731306573314215,-0.015434475328427319680356752976227788706370373912455162587729 
-148.1,-0.061786156604079373442838256548440587544990019046218861886594,-0.021723855799489109847452212325380219455471980899900275803392 
-148.0,-0.059307914406184373422931916312011203282400569314145477843541,-0.027800363408984350503239844824363446070957523451528290202541 
-147.9,-0.056235211790255258022748786263462126856531551570545868916390,-0.033603124904587317061527445538776756723347418800568001077066 
-147.8,-0.052598357230525351647894313999608954741389729366120322425025,-0.039073961631397659265482310384813948078630861991285988763669 
-147.7,-0.048433317910169558817983314002771068365791765805385093589241,-0.044157972745078257477685977890558224156929324288465961918550 
-147.6,-0.043781364104379476706629843823111813003163123103535296820086,-0.048804086064704260676661774867726053040483500517448568393116 
-147.5,-0.038688660327904282990835015167251009897438616376207739874671,-0.052965571039167323744080583639108191214967557010261222965705 
-147.4,-0.033205807296613649883099902111404176362259913301248948417996,-0.056600508675801709696147590359357084982317233231447126623043 
-147.3,-0.027387339246859199839473908465939101482892915600847609311696,-0.059672213706443686571965010529044856363519328739442848523936 
-147.2,-0.021291181605564755170184576764119696376062869812364732796540,-0.062149604740175863010993688976621962260239262968592155301525 
-147.1,-0.014978074403544708111066559998280883593451094318045084382679,-0.064007518668839751416158331812875289959796360705204722707897 
-147.0,-0.008510967170508459159029734586469470146587951132119934315436,-0.065226966145888220658861483571747970113244109347425945156750 
-146.9,-0.001954391339064144853250793021721849901229617056341996946681,-0.065795325545780221683772726494238679435600753625819213381339 
-146.8,0.004626183586137941369298991298406656229709071286140864354767,-0.065706473424054014092686895965100743488357729282703161823674 
-146.7,0.011165003671509727665296112538390994424263977613959212976147,-0.064960850131346134029287284346270188049241903962223613480601 
-146.6,0.017596687484853588442268368189992655731713671824669714187614,-0.063565459881639655026863099248291274268243991056992797972446 
-146.5,0.023856879750606386530881852035081360319833573954980735564014,-0.061533805229472039089089775844921108340535801598117015456368 
