X,J0,J1 
-100,0.019985850304223122424228390950848990680633578859027929558642114447225762722574013785472977400269624972586690826541184079725468630663578419721825218048800546440991742201494487029154802059570461813519938101813648268262898947824820703144190904068681464538742725435545726024780618263188819182217739985146952248498490611371650263085708846781338146409324916517860380721721353384858629748372209786914812585377864451428143278817265929695729789457784635354087693347343899318028601267098055408231428039180186622,-0.0771453520141121580326854949272344702116116670993467581260952142615081057710965621625232447368990634371507336808360146953235925580467199230209219967226345459427763640110993803052047882544538596801398143847010902439799875556102616036052243611503172360096352490674216466444507208231211085268754550228885208895316249766775131601361937218822569371368982329389784836662363100660859888807370931893644317274421678225787039699007433087571011650498037569671365678 
-99.9,0.012180433516928530042511571375079778742353586353942594914233378212099878862249042165101899487756063151479889004237350980830614785480418664898131707230482526330231891382183503499513350428898160775940318638940555440727780693243618382325917089931019478913086772387790615347665287756006111027343197359515982213116402281175455509300968604021366573195002860816877224187866674667393348753475448535273971113370177191309170776829694665549202628261088399533795881210868639236303440765315893718651859095457920945,-0.0788331663241558426946796901301605868336426834328055082340335268665274123129246269198411970197680078611749292415920056952659064409453149652725177401252843162253727246642023385692705309960398975033293667893099032140674813233117392972205114193465762666129535623872149359691985422207674602730391525096507808157541226566896741171871521735159355141282220966880171113853139148459183828522314337344962847874659233040082270022502779347430321260401017618380014845 
-99.8,0.0042454357674193054140725315131010634120460557057835569580132064490191220359912160021898297451667799050932845958327553826263263609564895327955136409174935735720392225671627631853225484274770703354504611815283237716215568464569869672704911975298421523664412009763034115766935427431854786662274582925065840635394263661794468019562267539492776367432482689487313977757670988097434805233501330103777865513680323011573818076271856227336175703184407862374954106224187337284393232688807122613127736177587111653,-0.07973468044965909838923229831323664548163553619232982904760908876969669184788119251646139296541030255745470982306081723122276100605613410785444143531411874115592138513806899253985433134281221462341128243477125280396261229844517047202166696008794875716185127707133394963034332376907052364897304509405058975405410956242281649020463193551196790397457805098613496842766683704566192452604144943748661049703155349151841984130675478048240672574575928380847300292 
-99.7,-0.0037399571254226517107109025472535138366279324885971131803597509898464177322278647281106723093359715054391154621114621529899599179129548139528578806354469431658627838912545576951099441721591406306632623914690170226734119227396676346114946674586462414593263003445305530740803181857942145507441230996324525902842123296428999680669659106532666922136825779974410823778633808000658785790564506978214657425520369325794150173655181917867671206737457289247863025655819924825230473770854104271007301404336854103,-0.07984009633371210172581111905662081642574374737116558772318089386376733069505145542208911953109626203293673312496057531441428724569379401496238394905033559726664024956481931097351814833129695653779619912868071094741590183661898782150562780966455284492563533569141483683917371028337686381869107082613339537704181923389546303852304079591597920757521055411514679638875905532281894212998076205205361912772112589267915442563134821313050013737778320751961665086 
-99.6,-0.011695976291240224781852547596740782981364461321426601473163359965846715245000921572611037701405226226626698159829500287353906209723257556583076632728778906504157991350198587080953822419940157095302028628221667330630894498006521819999864888690029973886887108651674771469979549663048334964832029146833378701592402956078479513802731115903890337363664542002859832845276503275764545081941509520083914264695650569096911706069594448241737308595312585594358880635352313550803554514042503574696770040624250365,-0.0791475620448196245506043435056531247318099887449695721143519660720372422261970970787238550204489142231119159847555191251552707443017453194972171853813825372627523788880690997422870580840249339216550699202150831114508128902498546052808892824807894281784501036144154464223243281777604831372089708437957202284728338185728960835630622930010226468348806813818403737040468590253416335805692842047232704375348109170205236447260323475783137251651031985738604899 
-99.5,-0.019543066407440783556620287835614357051593832667869553320829016736647630853504152942673337569824111036433047249771189871692527268991237943543038574996377929422628762562992108250391768678785743007323074220450079570327332386695993334103292728591304812363895417700504144489865962469322132389478984301415931949468283775441096827837941243136027425552579222179840454589258543055012053219358575851643968837743547806098116687019573643727935855255679769148052795885183485695516418940013787456978925477577749736,-0.0776631982430769354397902963762159109376544819283506354033422160726570109994661707140247514837057263485839306540902074022806939427952659238697327033860992220679321179339329946448417563939137785555017067056709611897691381066849954061306126419957137710735555998618930430730248550042894093935365299622676152969058429847603812812624648972926937627809930759401576362153416231401006059724987121471961264520178458787074816646131661575805403360609272696618078858 
-99.4,-0.027202680962960273781483340321423715341807940244902785591876666879433305816316711613023165438582745690477538853607244403215474993176893440019489153539912763713223543145648774488200092237509854949490115452666432423144877751090141786790912723452118993419218882826819475269389749175660295241151131351701269340222777190341818384371650028420256800199643610373435720866720444111930146030736911048844657364826651828534315707437128991941417641036554685655659383728559192032842255286400382489301359901090310180,-0.0754010450134534279383885253001940120561949663613513470672243546350534301902726599429939661837823930241202872022108383973586721185571180556350305503246201228565149696426183305227414432909688167789650881495386330355538159712208391353322441051403503484849013941576693227668553767961693630505310054573336390700768463309665722355634508570562747378878824829835063632695611450545547505772948558241473481499666064233698805079806779667805653346273494486493637068 
-99.3,-0.034598068239212386856876673969785835792762769349060499469968242604892899493267467318915916994714651035718463373917727615271968214502680810693328606980903184291171748384354062352775340063401106567615468637958922961522246035812445478836836887891869640161579234353608672819264815650659868146750478345481529243289661285666420259850016716109850834822969051191091268417029992318972297116133016777656675283631515170205893708739875145904042194540298389165237037652965320712904489212861237870044009833614207200,-0.0723829295176422338855544128399154585829398432823157667981799978161319013289419501607430821066666578612578654305554531389954942467777819748793705674084062159172201315725917293882794581215882842375751003922669777616924903843504595795852685498059629617041714427333379168859701589638642576217615000461310154074584270137728201437073395893615386843336319037256201582833595660416380932922415775481043788475373489102063884828769723930185577433089061850819604060 
-99.2,-0.041655040145665634532003286293550217788470760179015230561761824977182624403931715946323375926349092871847332408455195102016096600077869774240921973481058384808785591835012982411735666284532546001970209256989150093616293995541981723995540364366870138984364834249285912955894629664027078300861339008367824026613126975123416459964452125798530771939819797274974637102909633745967055393203909031580683328179334273459775132178429437652973846995677645013680982133968196568833606147309764167679494793041361522,-0.0686382557073797966249620215725887543957730989124563895961549926954736708514123744259986604216235470213208237019902676234007492516847434726576427269130120938757049456579449301871633530521999804573458260443379688522767743270538991496283315163691871688665054678029228323283123628797076086147235448989431807384598103784963618737568375440830433824756295834870148220788127364946282672313061023727363464676844542787868141922951943938937565031404291514484711008 
-99.1,-0.048302716210902231005649053854665638659143702908914538064115814442976451868546636738117190002081403434793963473746126231860367019373362870858733869521745084421390400750642308363800528708027657863517031890397012762952109837619210659171321968826405197885865181044673393415521415094364220172749473860591783591003021426589457521389353624868393328774015908795855239478871904503359043325789563957323863041112089036853001838133129412945263692412431494769391039509624384826608638005336136297276826063648658689,-0.0642037181219611265283915766382629927956860578555490824008894850910242366801962339478912071028698835190419117669660902974992603428801267894594226241528586301848560012637293338975827865296127355012196000050532248778393128757383620696502242543001893754272241721125857341710163524814249312237727108386061654294916261966130772790497213892655162727631690619086595192637796018676311958756035503104850932194693006184916909634261421240961502959804146749926437782 
