x,J0,J1 
-500,-0.034100556880731998265125060451894558131442791531683870482603,-0.010472613470372292844467094756967054578966611894871280604898 
-499.9,-0.032884563427847072946290664426951839084047047786578290359221,-0.013827097596906532080201472538816720855867311665371318302122 
-499.8,-0.031339722147584152173165142256605826425062918669370782180809,-0.017044083765304486269530588248654607270720555761918998499702 
-499.7,-0.029481404270014038549299391233388154188330735489964217527706,-0.020091398444118587786582848409863118769430980386230877592300 
-499.6,-0.027328116543847730802117961567344605048976877352711698249887,-0.022938557114850891268926869172018872164864641815401655327890 
-499.5,-0.024901316934301134524280692211002144776788069655835601864537,-0.025557069226779580483125531069801289616642905360768211395007 
-499.4,-0.022225200794016358450004507358995809835786126327214771991669,-0.027920723288152147607250692475325880901694777897005152049428 
-499.3,-0.019326459637810513673058722420533061203096632421884833180654,-0.030005849241016152242801707256284990807776407732368836647147 
-499.2,-0.016234014926203745995886573445196743698241287368264671877907,-0.031791555493378247012760170425010191874660719082941173858171 
-499.1,-0.012978729512882711394030116452682006673780703883795989142425,-0.033259938235090256161033103223567605141848476743731945878290 
-499.0,-0.009593099634978921257277451132699062703691475365590130742150,-0.034396260940337637501321797778376299069817169182693477241370 
-498.9,-0.006110930520042515037973092094964053681961254131831284517480,-0.035189102257092765626632927333443330229318295659963835064552 
-498.8,-0.002566998847916791920596771883466519590310963200135528997347,-0.035630470799424769372071955432228798955004525393128946581299 
-498.7,0.001003294562280884857109228086807811551041529621061901594626,-0.035715885688979886194798152152219523845717926253508313025273 
-498.6,0.004564278371515876120847651258699718315676731116165471911375,-0.035444422033962762488879558945380393350016744744253667460634 
-498.5,0.008080367114263945339420407138214209908631732778502741130117,-0.034818720884144620417747043884267522980406410223051022828141 
-498.4,0.011516416805315176438287239745100910810540472098569512431440,-0.033844963555301105823233066314121819568617556950737722267374 
-498.3,0.014838076206405781900252135970668947798210749470577710139856,-0.032532810572495826567309629497375320888730235686085173323903 
-498.2,0.018012130241785630159823369687841412470266398830453627553590,-0.030895305835217919853660202840597483800344199366299644599887 
