x,J0,J1 
-100,0.0199858503042231224242283909508489906806335788590279295586,-0.077145352014112158032685494927234470211611667099346758126 
-99.9,0.0121804335169285300425115713750797787423535863539425949142,-0.078833166324155842694679690130160586833642683432805508234 
-99.8,0.0042454357674193054140725315131010634120460557057835569580,-0.079734680449659098389232298313236645481635536192329829047 
-99.7,-0.003739957125422651710710902547253513836627932488597113180,-0.079840096333712101725811119056620816425743747371165587723 
-99.6,-0.011695976291240224781852547596740782981364461321426601473,-0.079147562044819624550604343505653124731809988744969572114 
-99.5,-0.019543066407440783556620287835614357051593832667869553320,-0.077663198243076935439790296376215910937654481928350635403 
-99.4,-0.027202680962960273781483340321423715341807940244902785591,-0.075401045013453427938388525300194012056194966361351347067 
-99.3,-0.034598068239212386856876673969785835792762769349060499469,-0.072382929517642233885554412839915458582939843282315766798 
-99.2,-0.041655040145665634532003286293550217788470760179015230561,-0.068638255707379796624962021572588754395773098912456389596 
-99.1,-0.048302716210902231005649053854665638659143702908914538064,-0.064203718121961126528391576638262992795686057855549082400 
-99.0,-0.054474235270499073439909081734589212603055276186391977790,-0.059122942553074067037135133729858101563678946551096630268 
-98.9,-0.060107427708307826669826718530209027742665266993457359623,-0.053446057093435395660169842213580579528554696755785567180 
-98.8,-0.065145441494624272254933615811453162623203482928184411480,-0.047229197784681424252899490885297480360092716337362559939 
-98.7,-0.069537315719533837974718245315852838142565455224725841271,-0.040533953737530491618564718417117755809836827375775072730 
-98.6,-0.073238495837925950970877531340549784021758114927949125962,-0.033426757206785384841478057383377263151468355203702754367 
-98.5,-0.076211285419172137235403409385955797095240710642861233555,-0.025978224659144190409551706392439455019071018277778450231 
-98.4,-0.078425229823561831766002471119747308441703861648934479065,-0.018262455367436894415175581652298373095463940948041212937 
-98.3,-0.079857427903054838084874613091046387337810402768811810655,-0.010356294495791849365565008211847789518206509445650529010 
-98.2,-0.080492768539040105963522072793772197116428770102656539321,-0.002338568001992346988901666506109043673961314727470504911 
-98.1,-0.080324089577483897507506518238347310539843157369987533815,0.0057107030277736909079505899219636406195270365500895187427 
-98.0,-0.079352257494671021832137400367234368105126127172130701609,0.0137111007833976956707387707388152172873428242298663774899 
-97.9,-0.077586166916996716797874133063652651216638335123706745287,0.0215826139110027890559806954339673644163184373083309417936 
-97.8,-0.075042659918078138544709762967369686905085430232289485076,0.0292464374494141309501871355036822538342809695581012586109 
-97.7,-0.071746365817844066106658114745087365110986099027921228965,0.0366257615278564520121680142684814717659130389657736720335 
-97.6,-0.067729463003226283346742720141390529512906048672018193354,0.0436465409339307432594975782675342126670244237931017106075 
-97.5,-0.063031365070669169637963772941038671014054156310015155840,0.0502382378439889797872112075180239741543371038810925749344 
-97.4,-0.057698334349083800157258132380325788544687958363432791637,0.0563345302682684590816409893383015523313567615352870392684 
-97.3,-0.051783026590501438549383668964577559894039471234462284147,0.0618739790980450489068379631313303621444743879110166533714 
-97.2,-0.045343971307220529208753589035101263651309618088831149690,0.0668006470483484909376313786145346433654668236632464879529 
-97.1,-0.038444992881745987496001996158409997646906835829812211956,0.0710646632634678153833475814088129294608022701747359548517 
-97.0,-0.031154578172777287126320531079549470111376486136167106236,0.0746227278888986721769587019005138657487383373610585814879 
-96.9,-0.023545196880898292645984030734135649552911672427430371667,0.0774385515072534881689688265141903800406694942049336400390 
-96.8,-0.015692581416001481068513220765079769216207076433833102877,0.0794832249810972742210994926107111721702412259648013233463 
-96.7,-0.007674973420000451222571207875884172579839807735785529664,0.0807355159362930832252243167441806934679473054047566976933 
-96.6,0.0004276555611314695926751240292930879494597211843809380165,0.0811820888483903179466683098369346740372036089099924496408 
-96.5,0.0085344014959858507874612942076078169565765518077308725049,0.0808176464546253152213201983187829856230030608392283352705 
-96.4,0.0165642354282676343643466898229994628818671642169837042168,0.0796449909976680557332023642898769269657524612206407797613 
-96.3,0.0244368131210079663856053755313177626931072064517306428080,0.0776750046065399398928055415380688702670950056442202150452 
-96.2,0.0320732786970457563635420059127224228479292027096085989054,0.0749265489271787635166408763892476614875091129004173840386 
-96.1,0.0393970542400039646021771259537288790189376293842225687594,0.0714262849218860936246026468856598950007008489378342687885 
-96.0,0.0463346074519336229562505816560338447196482195355408865726,0.0672084145553016093074490433549291603223918768579991502111 
-95.9,0.0528161896748359239321595149963135571248837665668224945303,0.0623143468666261631084324432269795139347757627712256168373 
-95.8,0.0587765368713741499260679080196093854164199274178365577526,0.0567922916857327484660005784632406310620758403506877629758 
-95.7,0.0641555265224547991718393517463737555741353164608570160951,0.0506967849769678461147870299128322058555434080207347303090 
-95.6,0.0688987838324484410849392489664345784003098382022499427390,0.0440881504815696583742609468293463309532645201786371298046 
-95.5,0.0729582311323830560735940306828723330095610745112692593635,0.0370319029708117503724838621380659479204416967928111748510 
-95.4,0.0762925749325550834291508082155761923758298081821945644689,0.0295980990107694788211041854974616788858863675280320975857 
-95.3,0.0788677256931255094038886138228829376639185414604043086488,0.0218606416700677112839230490816573263365268676394539397007 
-95.2,0.0806571460482943514425912916797586854146100320598766246364,0.0138965460687434529456609095653399331407138245990691017380 
-95.1,0.0816421239299663776036247941677306066392220760531627667057,0.0057851730647182537268937237683782355905200027213438612883 
-95.0,0.0818119677833841437428081275938568735553997756156442460997,-0.002392561299726905562658034734998997073474402703033719594 
